,column_name,column_label
57,ST230Q01JA,"How many siblings (including brothers, sisters, step-brothers, and step-sisters) do you have?"
58,ST005Q01JA,What is the [highest level of schooling] completed by your mother?
59,ST006Q01JA,Does your mother have any of the following qualifications: [ISCED level 8]
60,ST006Q02JA,Does your mother have any of the following qualifications: [ISCED level 7]
61,ST006Q03JA,Does your mother have any of the following qualifications: [ISCED level 6]
62,ST006Q04JA,Does your mother have any of the following qualifications: [ISCED level 5]
63,ST006Q05JA,Does your mother have any of the following qualifications: [ISCED level 4]
64,ST007Q01JA,What is the [highest level of schooling] completed by your father?
65,ST008Q01JA,Does your father have any of the following qualifications: [ISCED level 8]
66,ST008Q02JA,Does your father have any of the following qualifications: [ISCED level 7]
67,ST008Q03JA,Does your father have any of the following qualifications: [ISCED level 6]
68,ST008Q04JA,Does your father have any of the following qualifications: [ISCED level 5]
69,ST008Q05JA,Does your father have any of the following qualifications: [ISCED level 4]
70,ST258Q01JA,"In the past 30 days, how often did you not eat because there was not enough money to buy food?"
71,ST259Q01JA,Now think about where you would place your family on this scale. Where would you say your family stands at this time?
72,ST259Q02JA,Now think about where you would place your family on this scale. Where do you think you will stand when you are 30?
73,ST019AQ01T,In what country were you and your parents born? You
74,ST019BQ01T,In what country were you and your parents born? Mother
75,ST019CQ01T,In what country were you and your parents born? Father
76,ST021Q01TA,How old were you when you arrived in [country of test]?
77,ST022Q01TA,What language do you speak at home most of the time?
78,ST226Q01JA,How long have you been enrolled at this school?
79,ST125Q01NA,How old were you when you started [ISCED 0]: Years
80,ST126Q01TA,How old were you when you started [ISCED 1]: Years
81,ST127Q01TA,Have you ever repeated a [grade]: At [ISCED 1]
82,ST127Q02TA,Have you ever repeated a [grade]: At [ISCED 2]
83,ST127Q03TA,Have you ever repeated a [grade]: At [ISCED 3]
84,ST260Q01JA,Have you ever missed school for more than three months in a row: At [ISCED 1]
85,ST260Q02JA,Have you ever missed school for more than three months in a row: At [ISCED 2]
86,ST260Q03JA,Have you ever missed school for more than three months in a row: At [ISCED 3]
87,ST261Q01JA,Why miss school for 3+ months: I was bored.
88,ST261Q02JA,"Why miss school for 3+ months: I was suspended for something (e.g. violence, aggression, use of drugs, drug dealing)."
89,ST261Q03JA,Why miss school for 3+ months: I was pregnant.
90,ST261Q04JA,Why miss school for 3+ months: I could not reach school because of transportation problems.
91,ST261Q05JA,Why miss school for 3+ months: I had to take care of a family member.
92,ST261Q06JA,"Why miss school for 3+ months: I had to help with work at home, the family business, or on the family land."
93,ST261Q07JA,Why miss school for 3+ months: I had to get work to bring money home.
94,ST261Q08JA,Why miss school for 3+ months: I was sick.
95,ST261Q09JA,Why miss school for 3+ months: I did not feel safe at school.
96,ST261Q10JA,Why miss school for 3+ months: I could not pay [school fees].
97,ST261Q11JA,"Why miss school for 3+ months: School was closed because of a natural disaster (e.g. flood, earthquake)."
98,ST062Q01TA,"In the last two full weeks of school, how often: I [skipped] a whole school day"
99,ST062Q02TA,"In the last two full weeks of school, how often: I [skipped] some classes"
100,ST062Q03TA,"In the last two full weeks of school, how often: I arrived late for school"
101,ST267Q01JA,Agree/disagree: The teachers at my school are respectful towards me.
102,ST267Q02JA,"Agree/disagree: If I walked into my classes upset, my teachers would be concerned about me."
103,ST267Q03JA,"Agree/disagree: If I came back to visit my school 3 years from now, my teachers would be excited to see me."
104,ST267Q04JA,Agree/disagree: I feel intimidated by the teachers at my school.
105,ST267Q05JA,"Agree/disagree: When my teachers ask how I am doing, they are really interested in my answer."
106,ST267Q06JA,Agree/disagree: The teachers at my school are friendly towards me.
107,ST267Q07JA,Agree/disagree: The teachers at my school are interested in students' well-being.
108,ST267Q08JA,Agree/disagree: The teachers at my school are mean towards me.
109,ST034Q01TA,Agree/disagree:  I feel like an outsider (or left out of things) at school.
110,ST034Q02TA,Agree/disagree:  I make friends easily at school.
111,ST034Q03TA,Agree/disagree:  I feel like I belong at school.
112,ST034Q04TA,Agree/disagree:  I feel awkward and out of place in my school.
113,ST034Q05TA,Agree/disagree:  Other students seem to like me.
114,ST034Q06TA,Agree/disagree:  I feel lonely at school.
115,ST038Q03NA,"In past 12 months, how often: Other students left me out of things on purpose."
116,ST038Q04NA,"In past 12 months, how often: Other students made fun of me."
117,ST038Q05NA,"In past 12 months, how often: I was threatened by other students."
118,ST038Q06NA,"In past 12 months, how often: Other students took away or destroyed things that belonged to me."
119,ST038Q07NA,"In past 12 months, how often: I got hit or pushed around by other students."
120,ST038Q08NA,"In past 12 months, how often: Other students spread nasty rumours about me."
121,ST038Q09JA,"In past 12 months, how often: I was in a physical fight on school property."
122,ST038Q10JA,"In past 12 months, how often: I stayed home from school because I felt unsafe."
123,ST038Q11JA,"In past 12 months, how often: I gave money to someone at school because they threatened me."
124,ST265Q01JA,Agree/disagree: I feel safe on my way to school.
125,ST265Q02JA,Agree/disagree: I feel safe on my way home from school.
126,ST265Q03JA,Agree/disagree: I feel safe in my classrooms at school.
127,ST265Q04JA,"Agree/disagree: I feel safe at other places at school (e.g. hallway, cafeteria, restroom)."
128,ST266Q01JA,Occur during past four weeks:  Our school was vandalised.
129,ST266Q02JA,Occur during past four weeks:  I witnessed a fight on school property in which someone got hurt.
130,ST266Q03JA,Occur during past four weeks:  I saw gangs in school.
131,ST266Q04JA,Occur during past four weeks:  I heard a student threaten to hurt another student.
132,ST266Q05JA,Occur during past four weeks:  I saw a student carrying a gun or knife at school.
133,ST294Q01JA,How many days/wk before school: Eat breakfast
134,ST294Q02JA,How many days/wk before school: Study for school or homework
135,ST294Q03JA,How many days/wk before school: Work in the household or take care of family members
136,ST294Q04JA,How many days/wk before school: Work for pay
137,ST294Q05JA,"How many days/wk before school: Exercise or practise a sport (e.g. running, cycling, aerobics, soccer, skating, [country-specific])"
138,ST295Q01JA,How many days/wk after school: Eat dinner
139,ST295Q02JA,How many days/wk after school: Study for school or homework
140,ST295Q03JA,How many days/wk after school: Work in the household or take care of family members
141,ST295Q04JA,How many days/wk after school: Work for pay
142,ST295Q05JA,"How many days/wk after school: Exercise or practise a sport (e.g. running, cycling, aerobics, soccer, skating, [country-specific])"
143,ST326Q01JA,"This school year, how many hours/day use [digital resources] for: For learning activities at school"
144,ST326Q02JA,"This school year, how many hours/day use [digital resources] for: For learning activities before and after school"
145,ST326Q03JA,"This school year, how many hours/day use [digital resources] for: For learning activities on weekends"
146,ST326Q04JA,"This school year, how many hours/day use [digital resources] for: For leisure at school"
147,ST326Q05JA,"This school year, how many hours/day use [digital resources] for: For leisure before and after school"
148,ST326Q06JA,"This school year, how many hours/day use [digital resources] for: For leisure on weekends"
149,ST326Q07JA,"This school year, how many hours/day use [digital resources] for: For learning activities at school"
150,ST326Q08JA,"This school year, how many hours/day use [digital resources] for: For learning activities before and after school"
151,ST326Q09JA,"This school year, how many hours/day use [digital resources] for: For learning activities on weekends"
152,ST326Q10JA,"This school year, how many hours/day use [digital resources] for: For leisure at school"
153,ST326Q11JA,"This school year, how many hours/day use [digital resources] for: For leisure before and after school"
154,ST326Q12JA,"This school year, how many hours/day use [digital resources] for: For leisure on weekends"
155,ST322Q01JA,How often: I turn off notifications from social networks and apps on my [digital devices] during class.
156,ST322Q02JA,How often: I turn off notifications from social networks and apps on my [digital devices] when I go to sleep.
157,ST322Q03JA,How often: I keep my [digital device] near me to answer messages when I am home.
158,ST322Q04JA,How often:  I have my [digital device] open in class so I can take notes or search for information.
159,ST322Q06JA,How often: I feel pressured to be online and answer messages when I am in class.
160,ST322Q07JA,How often:  I feel nervous/anxious when I don't have my [digital device] near me.
161,ST307Q01JA,Agree/disagree: I keep working on a task until it is finished.
162,ST307Q02JA,Agree/disagree: I apply additional effort when work becomes challenging.
163,ST307Q03JA,Agree/disagree: I finish tasks that I started even when they become boring.
164,ST307Q04JA,Agree/disagree: I stop when work becomes too difficult.
165,ST307Q05JA,Agree/disagree: I am more persistent than most people I know.
166,ST307Q06JA,Agree/disagree: I give up after making mistakes.
167,ST307Q07JA,Agree/disagree: I quit doing homework if it is too long.
168,ST307Q08JA,Agree/disagree: I complete tasks even when they become more difficult than I thought.
169,ST307Q09JA,Agree/disagree: I finish what I start.
170,ST307Q10JA,Agree/disagree: I give up easily.
171,ST309Q01JA,Agree/disagree: I am careful with what I say to others.
172,ST309Q02JA,Agree/disagree: I get easily distracted.
173,ST309Q03JA,Agree/disagree: I say the first thing that comes to my mind.
174,ST309Q04JA,Agree/disagree: I like to make sure there are no mistakes.
175,ST309Q05JA,Agree/disagree: I carefully check homework before turning it in.
176,ST309Q06JA,Agree/disagree: I stop to think before acting.
177,ST309Q07JA,Agree/disagree: I rush into activities without thinking.
178,ST309Q08JA,Agree/disagree: I wait for my turn to speak in class.
179,ST309Q09JA,Agree/disagree: I am more impulsive than most people I know.
180,ST309Q10JA,Agree/disagree: I think carefully before doing something.
181,ST301Q01JA,Agree/disagree: I am curious about many different things.
182,ST301Q02JA,Agree/disagree: I like to ask questions.
183,ST301Q03JA,Agree/disagree: I get frustrated when I have to learn the details of a topic.
184,ST301Q04JA,Agree/disagree: I like to know how things work.
185,ST301Q05JA,Agree/disagree: I love learning new things in school.
186,ST301Q06JA,Agree/disagree: I am more curious than most people I know.
187,ST301Q07JA,Agree/disagree: I like to develop hypotheses and check them based on what I observe.
188,ST301Q08JA,Agree/disagree: I find learning new things to be boring.
189,ST301Q09JA,Agree/disagree: I spend time to find more information about things that interest me.
190,ST301Q10JA,Agree/disagree: I like learning new things.
191,ST343Q01JA,Agree/disagree: I like to help others.
192,ST343Q02JA,Agree/disagree: I get annoyed when I have to compromise with others.
193,ST343Q03JA,Agree/disagree: I work well with other people.
194,ST343Q04JA,Agree/disagree: I start arguments with others.
195,ST343Q05JA,Agree/disagree: I avoid working together with other students.
196,ST343Q06JA,Agree/disagree: I am ready to help anybody.
197,ST343Q07JA,Agree/disagree: I tend to be selfish.
198,ST343Q08JA,Agree/disagree: I work better when I am part of a team.
199,ST343Q09JA,Agree/disagree: I enjoy cooperating with my classmates.
200,ST343Q10JA,Agree/disagree: I argue a lot.
201,ST311Q01JA,Agree/disagree: I do not care what happens to other people.
202,ST311Q02JA,Agree/disagree: I can sense how others feel.
203,ST311Q03JA,Agree/disagree: It is important to me that my friends are okay.
204,ST311Q04JA,Agree/disagree: I can see situations from my friends' perspectives.
205,ST311Q05JA,Agree/disagree: I ignore the feelings of others.
206,ST311Q06JA,Agree/disagree: I am more compassionate than most people I know.
207,ST311Q07JA,Agree/disagree: It is difficult for me to sense what others think.
208,ST311Q08JA,Agree/disagree: I predict the needs of others.
209,ST311Q09JA,Agree/disagree: I get upset if bad things happen to other people.
210,ST311Q10JA,Agree/disagree: I understand what others want.
211,ST315Q01JA,Agree/disagree: I am suspicious of others' intentions.
212,ST315Q02JA,Agree/disagree: I think most of my classmates keep their promises.
213,ST315Q03JA,Agree/disagree: I believe that most people are honest.
214,ST315Q04JA,Agree/disagree: I believe that my friends can keep my secrets.
215,ST315Q05JA,Agree/disagree: I think most people are selfish.
216,ST315Q06JA,Agree/disagree: I trust what people say.
217,ST315Q07JA,Agree/disagree: I think others will try to harm me.
218,ST315Q08JA,Agree/disagree: I am more trusting with others than most people I know.
219,ST315Q09JA,Agree/disagree: I believe most people are kind.
220,ST315Q10JA,Agree/disagree: I am willing to forgive those who have done wrong.
221,ST303Q01JA,Agree/disagree: I try to consider everybody's perspective before I take a position.
222,ST303Q02JA,Agree/disagree: I want to understand my classmates' ways of thinking.
223,ST303Q03JA,Agree/disagree: I can view almost all things from different angles.
224,ST303Q04JA,Agree/disagree: I imagine how I would feel if I were in somebody else's place.
225,ST303Q05JA,Agree/disagree: I think there is only one correct position in a disagreement.
226,ST303Q06JA,Agree/disagree: I want to understand why people behave the way they do.
227,ST303Q07JA,Agree/disagree: I find it difficult to anticipate what other people think.
228,ST303Q08JA,Agree/disagree: I try to envision how things look from my friends' points of view.
229,ST305Q01JA,Agree/disagree: I am comfortable with taking the lead role in a group.
230,ST305Q02JA,Agree/disagree: I know how to convince others to do what I want.
231,ST305Q03JA,Agree/disagree: I enjoy leading others.
232,ST305Q04JA,Agree/disagree: I keep my opinion to myself in group discussions.
233,ST305Q05JA,Agree/disagree: I speak up to others about things that matter to me.
234,ST305Q06JA,Agree/disagree: I take initiative when working with my classmates.
235,ST305Q07JA,Agree/disagree: I wait for others to take a lead.
236,ST305Q08JA,Agree/disagree: I find it hard to influence people.
237,ST305Q09JA,Agree/disagree: I want to be in charge.
238,ST305Q10JA,Agree/disagree: I like to be a leader in my class.
239,ST345Q01JA,Agree/disagree: I get nervous easily.
240,ST345Q02JA,Agree/disagree: I am more relaxed than most people I know.
241,ST345Q03JA,Agree/disagree: I worry about many things.
242,ST345Q04JA,Agree/disagree: I panic easily.
243,ST345Q05JA,Agree/disagree: I am able to work under pressure.
244,ST345Q06JA,Agree/disagree: I remain calm under stress.
245,ST345Q07JA,Agree/disagree: I feel nervous about approaching exams.
246,ST345Q08JA,Agree/disagree: I can recover quickly after something bad has happened.
247,ST345Q09JA,Agree/disagree: I handle stress well.
248,ST345Q10JA,Agree/disagree: I am afraid of many things.
249,ST313Q01JA,Agree/disagree: I keep my emotions under control.
250,ST313Q02JA,Agree/disagree: I get mad easily.
251,ST313Q03JA,Agree/disagree: I change my mood a lot.
252,ST313Q04JA,Agree/disagree: I overreact to every little thing in life.
253,ST313Q05JA,Agree/disagree: I stay calm even in tense situations.
254,ST313Q06JA,Agree/disagree: I am easily upset.
255,ST313Q07JA,Agree/disagree: I know how to control my feelings.
256,ST313Q08JA,Agree/disagree: I have unpredictable emotions.
257,ST313Q09JA,Agree/disagree: I am moody.
258,ST313Q10JA,Agree/disagree: I get frustrated quickly.
259,ST263Q02JA,Agree/disagree: Your intelligence is something about you that you cannot change very much.
260,ST263Q04JA,"Agree/disagree: Some people are just not good at mathematics, no matter how hard they study."
261,ST263Q06JA,"Agree/disagree: Some people are just not good in [test language], no matter how hard they study."
262,ST263Q08JA,Agree/disagree: Your creativity is something about you that you cannot change very much.
263,ST016Q01NA,"Overall, how satisfied are you with your life as a whole these days?"
264,ST059Q01TA,Number of [class periods] per week in mathematics
265,ST059Q02JA,"Total number of [class periods] per week for all subjects, including mathematics"
266,ST296Q01JA,How much time spent on homework in: Mathematics homework
267,ST296Q02JA,How much time spent on homework in: [Test language] homework
268,ST296Q03JA,How much time spent on homework in: [Science] homework
269,ST296Q04JA,"How much time spent on homework in: Total time for all homework in all subjects, including subjects not listed above"
270,ST272Q01JA,"On 1-10 scale, rate quality of mathematics instruction this school year? Quality of mathematics instruction?"
271,ST273Q01JA,How often: Students do not listen to what the teacher said.
272,ST273Q02JA,How often: There is noise and disorder.
273,ST273Q03JA,How often: The teacher has to wait a long time for students to quiet down.
274,ST273Q04JA,How often: Students cannot work well.
275,ST273Q05JA,How often: Students do not start working for a long time after the lesson begins.
276,ST273Q06JA,"How often: Students get distracted by using [digital resources] (e.g. smartphones, websites, apps)."
277,ST273Q07JA,"How often: Students get distracted by other students who are using [digital resources] (e.g. smartphones, websites, apps)."
278,ST270Q01JA,How often: The teacher shows an interest in every student's learning.
279,ST270Q02JA,How often: The teacher gives extra help when students need it.
280,ST270Q03JA,How often: The teacher helps students with their learning.
281,ST270Q04JA,How often: The teacher continues teaching until the students understand.
282,ST285Q01JA,How often: The teacher asked us to solve mathematics problems without computing anything.
283,ST285Q02JA,How often: The teacher asked us to explain how we solved a mathematics problem.
284,ST285Q03JA,How often: The teacher asked us to explain what assumptions we were making when solving a mathematics problem.
285,ST285Q04JA,How often: The teacher asked us to explain our reasoning when solving a mathematics problem.
286,ST285Q05JA,How often: The teacher asked us to defend our answer to a mathematics problem.
287,ST285Q06JA,How often: The teacher asked us to think about how new and old mathematics topics were related.
288,ST285Q07JA,How often: The teacher encouraged us to think about how to solve mathematics problems in different ways than demonstrated in class.
289,ST285Q08JA,How often: The teacher told us to keep trying even when we face difficulties with a mathematics task.
290,ST285Q09JA,How often: The teacher taught us to memorize rules and apply them to solve mathematics problems.
291,ST283Q01JA,How often: The teacher asked us to think of problems from everyday life that could be solved with new mathematics knowledge we learned.
292,ST283Q02JA,How often: The teacher showed us how mathematics can be useful in our everyday lives.
293,ST283Q03JA,How often: The teacher encouraged us to 'think mathematically'.
294,ST283Q04JA,How often: The teacher taught us how to use mathematical logic when approaching new situations.
295,ST283Q05JA,How often: The teacher showed us how some problems that look difficult can be solved more easily by understanding how the number system is organized.
296,ST283Q06JA,How often: The teacher gave problems from everyday life involving numbers and asked us to make a decision about the situation.
297,ST283Q07JA,How often: The teacher asked us how different topics are connected to a bigger mathematical idea.
298,ST283Q08JA,How often: The teacher encouraged us to think about how a problem from everyday life could be solved using mathematics.
299,ST283Q09JA,How often: The teacher explained how different mathematical ideas connect to a larger context.
300,ST275Q01WA,How often at school: Working out from a [train timetable] how long it would take to get from one place to another
301,ST275Q02WA,How often at school: Calculating how much more expensive a computer would be after adding tax
302,ST275Q03WA,How often at school: Calculating how many square metres of tiles you need to cover a floor
303,ST275Q04WA,How often at school: Understanding scientific tables presented in an article
304,ST275Q05WA,How often at school: Solving an equation like 6x[sup]2[/sup]+5 = 29
305,ST275Q06WA,"How often at school: Finding the actual distance between two places on a map with a 1?10,000 scale"
306,ST275Q07WA,How often at school: Solving an equation like 2(x+3) = (x+3)(x-3)
307,ST275Q08WA,How often at school: Calculating the power consumption of an electronic appliance per week
308,ST275Q09WA,How often at school: Solving an equation like 3x+5=17
309,ST276Q01JA,"How often at school: Extracting mathematical information from diagrams, graphs, or simulations"
310,ST276Q02JA,How often at school: Interpreting mathematical solutions in the context of a real-life challenge
311,ST276Q03JA,How often at school: Using the concept of statistical variation to make a decision
312,ST276Q04JA,How often at school: Identifying mathematical aspects of a real-world problem
313,ST276Q05JA,How often at school: Identifying constraints and assumptions behind mathematical modelling
314,ST276Q06JA,"How often at school: Representing a situation mathematically using variables, symbols, or diagrams"
315,ST276Q07JA,How often at school: Evaluating the significance of observed patterns in data
316,ST276Q08JA,How often at school: Coding/programming computers
317,ST276Q09JA,"How often at school: Working with computer mathematics systems (e.g. spreadsheets, programming software, graphing calculators)"
318,ST276Q10JA,How often at school: Calculating the properties of an irregularly shaped object
319,ST268Q01JA,Agree/disagree: Mathematics is one of my favourite subjects.
320,ST268Q02JA,Agree/disagree: [Test language] is one of my favourite subjects.
321,ST268Q03JA,Agree/disagree: [Science] is one of my favourite subjects.
322,ST268Q04JA,Agree/disagree: Mathematics is easy for me.
323,ST268Q05JA,Agree/disagree: [Test language] is easy for me.
324,ST268Q06JA,Agree/disagree: [Science] is easy for me.
325,ST268Q07JA,Agree/disagree: I want to do well in my mathematics class.
326,ST268Q08JA,Agree/disagree: I want to do well in my [test language] class.
327,ST268Q09JA,Agree/disagree: I want to do well in my [science] class.
328,ST290Q01WA,How confident in math tasks: Working out from a [train timetable] how long it would take to get from one place to another
329,ST290Q02WA,How confident in math tasks: Calculating how much more expensive a computer would be after adding tax
330,ST290Q03WA,How confident in math tasks: Calculating how many square metres of tiles you need to cover a floor
331,ST290Q04WA,How confident in math tasks: Understanding scientific tables presented in an article
332,ST290Q05WA,How confident in math tasks: Solving an equation like 6x[sup]2[/sup]+5=29
333,ST290Q06WA,"How confident in math tasks: Finding the actual distance between two places on a map with a 1?10,000 scale"
334,ST290Q07WA,How confident in math tasks: Solving an equation like 2(x+3) = (x+3)(x-3)
335,ST290Q08WA,How confident in math tasks: Calculating the power consumption of an electronic appliance per week
336,ST290Q09WA,How confident in math tasks: Solving an equation like 3x+5=17
337,ST291Q01JA,"How confident in math tasks: Extracting mathematical information from diagrams, graphs, or simulations"
338,ST291Q02JA,How confident in math tasks: Interpreting mathematical solutions in the context of a real-life challenge
339,ST291Q03JA,How confident in math tasks: Using the concept of statistical variation to make a decision
340,ST291Q04JA,How confident in math tasks: Identifying mathematical aspects of a real-world problem
341,ST291Q05JA,How confident in math tasks: Identifying constraints and assumptions behind mathematical modelling
342,ST291Q06JA,"How confident in math tasks: Representing a situation mathematically using variables, symbols, or diagrams"
343,ST291Q07JA,How confident in math tasks: Evaluating the significance of observed patterns in data
344,ST291Q08JA,How confident in math tasks: Coding/programming computers
345,ST291Q09JA,"How confident in math tasks: Working with computer mathematics systems (e.g. spreadsheets, programming software, graphing calculators)"
346,ST291Q10JA,How confident in math tasks: Calculating the properties of an irregularly shaped object
347,ST289Q01WA,How familiar are you with the following mathematical terms: Divisor
348,ST289Q02JA,How familiar are you with the following mathematical terms: Area of a circle
349,ST289Q03WA,How familiar are you with the following mathematical terms: [Subjunctive scaling]
350,ST289Q04JA,How familiar are you with the following mathematical terms: Congruent figures
351,ST289Q05WA,How familiar are you with the following mathematical terms: Linear equation
352,ST289Q06JA,How familiar are you with the following mathematical terms: Pythagorean theorem
353,ST289Q07JA,How familiar are you with the following mathematical terms: Linear inequalities
354,ST289Q08WA,How familiar are you with the following mathematical terms: Complex number
355,ST289Q09WA,How familiar are you with the following mathematical terms: Exponential function
356,ST289Q10WA,How familiar are you with the following mathematical terms: Probability
357,ST289Q11WA,How familiar are you with the following mathematical terms: [Declarative fraction]
358,ST289Q14JA,How familiar are you with the following mathematical terms: 3-dimensional geometry
359,ST293Q01JA,"This school year, how often: I actively participated in group discussions during mathematics class."
360,ST293Q02JA,"This school year, how often: I paid attention when my mathematics teacher was speaking."
361,ST293Q03JA,"This school year, how often: I put effort into my assignments for mathematics class."
362,ST293Q04JA,"This school year, how often: I gave up when I did not understand the mathematics material that was being taught."
363,ST293Q05JA,"This school year, how often: I made time to learn the material for mathematics class."
364,ST293Q06JA,"This school year, how often: I asked questions when I did not understand the mathematics material that was being taught."
365,ST293Q07JA,"This school year, how often: I lost interest during mathematics lessons."
366,ST293Q08JA,"This school year, how often:  I tried to connect new material to what I have learned in previous mathematics lessons."
367,ST293Q09JA,"This school year, how often: I started my work on mathematics assignments right away."
368,ST292Q01JA,Agree/disagree: I often worry that it will be difficult for me in mathematics classes.
369,ST292Q02JA,Agree/disagree: I get very tense when I have to do mathematics homework.
370,ST292Q03JA,Agree/disagree: I get very nervous doing mathematics problems.
371,ST292Q04JA,Agree/disagree: I feel helpless when doing a mathematics problem.
372,ST292Q05JA,Agree/disagree: I worry that I will get poor [marks] in mathematics.
373,ST292Q06JA,Agree/disagree: I feel anxious about failing in mathematics.
374,ST297Q01JA,[Additional math instruction] received: One-on-one tutoring with a person
375,ST297Q03JA,[Additional math instruction] received: Internet or computer tutoring with a programme or application
376,ST297Q05JA,[Additional math instruction] received: Video-recorded instruction by a person
377,ST297Q06JA,[Additional math instruction] received: Small group study or practice (2 to 7 students)
378,ST297Q07JA,[Additional math instruction] received: Large group study or practice (8 or more students)
379,ST297Q09JA,[Additional math instruction] received: I do not participate in [additional mathematics instruction]
380,ST334Q01JA,How confident about doing: Coming up with creative ideas for school projects
381,ST334Q02JA,How confident about doing: Being creative
382,ST334Q03JA,How confident about doing: Telling creative stories
383,ST334Q04JA,How confident about doing: Expressing your ideas creatively
384,ST334Q05JA,How confident about doing: Making creative drawings
385,ST334Q06JA,How confident about doing: Thinking of many good ideas for science experiments
386,ST334Q07JA,How confident about doing: Inventing new things
387,ST334Q08JA,How confident about doing: Thinking of many ideas for solving disagreements with people
388,ST334Q09JA,How confident about doing: Addressing social problems like pollution
389,ST334Q10JA,How confident about doing: Coming up with many good ideas for helping people in need
390,ST335Q01JA,Agree/disagree: My teachers give me enough time to come up with creative solutions on assignments.
391,ST335Q02JA,Agree/disagree: My teachers value students' creativity.
392,ST335Q03JA,Agree/disagree: The activities we do in my classes help me think about new ways to solve problems.
393,ST335Q05JA,Agree/disagree: My mathematics assignments require me to come up with different solutions for a problem.
394,ST335Q06JA,Agree/disagree: My teachers encourage me to come up with original answers.
395,ST335Q07JA,"Agree/disagree: At school, I am given a chance to express my ideas."
396,ST336Q01JA,Agree/disagree: My friends are open to new ideas.
397,ST336Q03JA,Agree/disagree: My friends and I give one another feedback about our ideas.
398,ST336Q04JA,Agree/disagree: My friends and I encourage each other to come up with new ideas.
399,ST336Q05JA,Agree/disagree: My family encourages me to try new things.
400,ST336Q06JA,"Agree/disagree: At home, I am encouraged to use my imagination."
401,ST336Q07JA,Agree/disagree: Discussions I have at home help me come up with new ideas.
